School name,School type,Telephone,Address1,Address2,Address3,County,Postcode,Email,Lower age,Upper age,Head Teacher,Website,
Mayfield Church of England Primary School,Primary,(01435) 873185,Fletching Street,,Mayfield,East Sussex,TN20 6TA,office@mayfieldcep.e-sussex.sch.uk,5,11,Susan Hooper,http://www.mayfieldcep.e-sussex.sch.uk,
Maynards Green Community Primary School,Primary,(01435) 812622,Maynards Green,,Heathfield,East Sussex,TN21 0DD,office@maynardsgreen.e-sussex.sch.uk,5,11,Verity Poole,http://www.maynardsgreen.e-sussex.sch.uk,
Meeching Valley Primary School,Primary,(01273) 514300,Valley Road,,Newhaven,East Sussex,BN9 9UT,office@meechingvalley.e-sussex.sch.uk,5,11,Davina Wakelin,http://www.meechingvalleyprimaryschool.co.uk,
Meridian Primary School,Primary,(01273) 584212,Roderick Avenue North,,Peacehaven,East Sussex,BN10 8BZ,office@meridian.e-sussex.sch.uk,5,11,Claire Westcott,http://www.meridianschool.co.uk,
Motcombe Community School,Infant,(01323) 728901,Macmillan Drive,,Eastbourne,East Sussex,BN21 1SN,office@motcombe.e-sussex.sch.uk,5,7,Jane Midwinter,http://www.motcombe.e-sussex.sch.uk,
Mountfield & Whatlington Church of England Primary School,Primary,(01580) 880587,Vinehall Road,Mountfield,Robertsbridge,East Sussex,TN32 5JN,office@mwprimary.e-sussex.sch.uk,5,11,Joseph Hellett,http://www.mwprimary.com,
Netherfield Church of England Primary School,Primary,(01424) 838323,Darvel Down,Netherfield,Battle,East Sussex,TN33 9QF,office@netherfield.e-sussex.sch.uk,5,11,Barbara Gill,http://www.netherfield.e-sussex.sch.uk,
New Horizons School,Special,(01424) 858020,Beauchamp Road,,St Leonards-on-sea,East Sussex,TN38 9JU,office@newhorizons.e-sussex.sch.uk,7,16,Simone Hopkins,,
Newick Church of England Primary School,Primary,(01825) 723377,Allington Road,Newick,Lewes,East Sussex,BN8 4NB,office@newick-ce-prm.e-sussex.sch.uk,5,11,Sophie Thomas,http://www.newickschool.co.uk,
Ninfield Church of England Primary School,Primary,(01424) 892486,Church Lane,Ninfield,Battle,East Sussex,TN33 9JW,office@ninfieldce.e-sussex.sch.uk,5,11,Christopher Brown,http://www.ninfieldce.e-sussex.sch.uk,
Northiam Church of England Primary School,Primary,(01797) 252141,Main Street,Northiam,Rye,East Sussex,TN31 6NB,office@northiamcep.e-sussex.sch.uk,5,11,Jill Thewlis,http://www.northiamcep.e-sussex.sch.uk,
Nutley Church of England Primary School,Primary,(01825) 712575,High Street,Nutley,Uckfield,East Sussex,TN22 3NW,office@nutleyce.e-sussex.sch.uk,5,11,Pat Coleman,,
Oakwood School,Primary,(01323) 501251,Magnolia Drive,,Eastbourne,East Sussex ,BN22 0SS,office@oakwood.e-sussex.sch.uk,5,11,Anne Rabbetts,http://www.oakwood.e-sussex.sch.uk,
Ocklynge Junior School,Junior,(01323) 725839,Victoria Drive,,Eastbourne,East Sussex,BN20 8XN,office@ocklynge.e-sussex.sch.uk,7,11,Mark Trott,http://www.ocklynge.e-sussex.sch.uk,
Park Mead Primary School,Primary,(01323) 844247,Upper Dicker,,Hailsham,East Sussex,BN27 3QP,office@parkmead.e-sussex.sch.uk,5,11,Linda Morris,,
Parkland Infant School,Infant,(01323) 502862,Brassey Avenue,,Eastbourne,East Sussex,BN22 9QJ,office@parkland-inf.e-sussex.sch.uk,5,7,Tim Mehmet,http://www.parklandinfantschool.ik.org,
Parkland Junior School,Junior,(01323) 502620,Brassey Avenue,,Eastbourne,East Sussex,BN22 9QJ,office@parkland-jun.e-sussex.sch.uk,7,11,Steve Gough,http://www.parkland-jun.e-sussex.sch.uk,
Parkside Community Primary School,Primary,(01435) 864577,Beechwood Lane,,Heathfield,East Sussex,TN21 8QQ,office@parkside.e-sussex.sch.uk,5,11,Norman Wood,http://www.parkside.e-sussex.sch.uk/,
Pashley Down Infant School,Infant,(01323) 730719,Beechy Avenue,,Eastbourne,East Sussex,BN20 8NX,office@pashley.e-sussex.sch.uk,5,7,Jennifer Cruse,,
Peacehaven Community School,Secondary,(01273) 581100,Greenwich Way,,Peacehaven,East Sussex,BN10 8RB,enquiries@phcs.org.uk,11,16,Helen Cryer,http://www.phcs.org.uk/,
Peacehaven Infant School,Infant,(01273) 583310,Roderick Avenue,,Peacehaven,East Sussex,BN10 8UZ,office@peacehaven.e-sussex.sch.uk,5,7,,,
Peasmarsh Church of England Primary School,Primary,(01797) 230325,School Lane,Peasmarsh,Rye,East Sussex,TN31 6UW,office@peasmarsh.e-sussex.sch.uk,5,11,Alexander McMillan,http://www.peasmarsh.e-sussex.sch.uk,
Pebsham Community Primary School,Primary,(01424) 215175,Hastings Road,,Bexhill-on-Sea,East Sussex,TN40 2PU,office@pebshamcp.e-sussex.sch.uk,5,11,Patricia Strickson,http://www.pebshamcp.co.uk,
Pells Church of England Primary School,Primary,(01273) 476708,Landport Road,,Lewes,East Sussex,BN7 2SU,office@pells.e-sussex.sch.uk,5,11,Kerri Burns,http://www.pells.e-sussex.sch.uk,
Pevensey and Westham Church of England Primary School,Primary,(01323) 762269,86 High Street,Westham,Pevensey,East Sussex,BN24 5LP,admin@pevensey-westham.e-sussex.sch.uk,5,11,Janice Gott,http://www.pevensey-westham.e-sussex.sch.uk,
Plumpton Primary School,Primary,(01273) 890338,Southdowns,Plumpton Green,Lewes,East Sussex,BN7 3EB,office@plumpton.e-sussex.sch.uk,5,11,Annie Rogers,http://www.plumpton.e-sussex.sch.uk,
Polegate School,Primary,(01323) 482404,Oakleaf Drive,,Polegate,East Sussex,BN26 6PT,office@polegate.e-sussex.sch.uk,5,11,Claire Martin-O'Donoghue,http://www.polegate.e-sussex.sch.uk,
Priory School,Secondary,(01273) 476231,Mountfield Road,,Lewes,East Sussex,BN7 2XN,office@priory.e-sussex.sch.uk,11,16,Anthony Smith,http://www.priory.e-sussex.sch.uk,
Punnetts Town Community Primary School,Primary,(01435) 830361,Punnett's Town,,Heathfield,East Sussex,TN21 9DE,office@punnettstown.e-sussex.sch.uk,5,11,Maria Maslin,http://www.punnettstown.e-sussex.sch.uk,
Ratton School,Secondary,(01323) 504011,Park Avenue,,Eastbourne,East Sussex,BN21 2XR,office@ratton.e-sussex.sch.uk,11,16,David Linsell,http://www.ratton.e-sussex.sch.uk,
Red Lake Community Primary School,Primary,(01424) 422979,Rye Road,,Hastings,East Sussex,TN35 5DB,office@redlake.e-sussex.sch.uk,5,11,Elizabeth Brown,,
Ringmer Community College,Secondary,(01273) 812220,Lewes Road,Ringmer,Lewes,East Sussex,BN8 5RB,office@ringmer.e-sussex.sch.uk,11,18,Kathryn Stonier,http://www.ringmer.e-sussex.sch.uk,
Ringmer Primary School,Primary,(01273) 812463,Harrisons Lane,Ringmer,Lewes,East Sussex,BN8 5LL,schooloffice@ringmer-pri.e-sussex.sch.uk,5,11,Jackie Warren,http://www.ringmer-pri.e-sussex.sch.uk,
Robertsbridge Community College,Secondary,(01580) 880360,Knelle Road,,Robertsbridge,East Sussex,TN32 5EA,admin@robertsbridge.org.uk,11,16,Simon Potten,http://www.robertsbridge.org.uk/,
Robsack Wood Community Primary School,Primary,(01424) 853521,Whatlington Way,,St Leonards-on-sea,East Sussex,TN38 9TE,office@robsack-wood.e-sussex.sch.uk,5,11,John Benwell,http://www.robsack-wood.e-sussex.sch.uk,
Rocks Park Primary School,Primary,(01825) 762827,Lashbrooks Road,,Uckfield,East Sussex,TN22 2AY,office@rockspark.e-sussex.sch.uk,5,11,Christopher Davey,http://www.rockspark.e-sussex.sch.uk,
Rodmell Church of England Primary School,Primary,(01273) 473916,Rodmell,,Lewes,East Sussex,BN7 3HF,office@rodmell.e-sussex.sch.uk,5,11,Leanne Winterton,http://www.rodmell.e-sussex.sch.uk,
Roselands Infant School,Infant,(01323) 726764,Woodgate Road,,Eastbourne,East Sussex,BN22 8PD,office@roselands.e-sussex.sch.uk,5,7,Christine Rendle,,
Rotherfield Primary School,Primary,(01892) 852574,North Street,Rotherfield,Crowborough,East Sussex,TN6 3NA,office@rotherfield-cps.e-sussex.sch.uk,5,11,Marianne Terry,http://www.rotherfield-cps.e-sussex.sch.uk,
Sacred Heart Catholic Primary School,Primary,(01424) 429494,Old London Road,,Hastings,East Sussex,TN35 5NA,office@sacred-heart.e-sussex.sch.uk,5,11,Rosalind Gillies,http://www.sacred-heart.e-sussex.sch.uk,
Salehurst Church of England Primary School,Primary,(01580) 880288,George Hill,,Robertsbridge,East Sussex,TN32 5BU,office@salehurst.e-sussex.sch.uk,5,11,Andrew McGregor,,
Sandown Primary School,Primary,(01424) 436983,The Ridge,,Hastings,East Sussex,TN34 2AA,office@sandownprimary.e-sussex.sch.uk,5,11,Charles Lindsay,http://www.sandownprimary.e-sussex.sch.uk,
Saxon Mount School,Special,(01424) 426303,Edinburgh Road,,St Leonards-on-sea,East Sussex,TN38 8HH,office@saxon.e-sussex.sch.uk,11,16,Richard Preece,http://www.saxonmount.com/,
Seaford Head Community College,Secondary,(01323) 891623,Arundel Road,,Seaford,East Sussex,BN25 4LX,office@seafordhead.e-sussex.sch.uk,11,16,Lynton Golds,http://www.seafordhead.e-sussex.sch.uk,
Seaford Primary School,Primary,(01323) 893450,Wilkinson Way,,Seaford,East Sussex,BN25 2JF,office@seafordprimary.e-sussex.sch.uk,5,11,Jonathan Reynard,http://www.seafordprimary.co.uk ,
Sedlescombe Church of England Primary School,Primary,(01424) 870585,Gammons Way,Sedlescombe,Battle,East Sussex,TN33 0RQ,office@sedlescombecep.e-sussex.sch.uk,5,11,Marian Ham,http://www.sedlescombecep.e-sussex.sch.uk,
Shinewater Primary School,Primary,(01323) 762129,Milfoil Drive,,Eastbourne,East Sussex,BN23 8ED,office@shinewater.e-sussex.sch.uk,5,11,John Greenwood,http://www.shinewater.e-sussex.sch.uk,
Sidley Community Primary School,Primary,(01424) 213611,Buxton Drive,,Bexhill-on-sea,East Sussex,TN39 4BD,office@sidleycp.e-sussex.sch.uk,5,11,Patricia Strickson,,
Silverdale Primary School,Primary,(01424) 448100,Perth Road,,St Leonards-on-sea,East Sussex,TN37 7EA,office@silverdale.e-sussex.sch.uk,5,11,Gillian Knox,http://www.silverdale.e-sussex.sch.uk/,
